kingdom	phylum	order	family	genus	species	sci.name
Animalia	Mollusca	Unionida	Unionidae	Alasmidonta	viridis	Alasmidonta viridis
Animalia	Mollusca	Unionida	Unionidae	Anodontoides	ferussacianus	Anodontoides ferussacianus
Animalia	Mollusca	NA	Orthoceratidae	Kionoceras	NA	Kionoceras NA
Animalia	Mollusca	Stylommatophora	Spiraxidae	Physella	integra	Physella integra
Animalia	Mollusca	Stylommatophora	Spiraxidae	Physella	NA	Physella NA
Animalia	Mollusca	Unionida	Unionidae	Cyprogenia	stegaria	Cyprogenia stegaria
Animalia	Mollusca	Unionida	Unionidae	Sagittunio	subrostratus	Sagittunio subrostratus
Animalia	Mollusca	NA	Pleuroceridae	Pleurocera	verrucosa	Pleurocera verrucosa
Animalia	Mollusca	Stylommatophora	Polygyridae	Triodopsis	albolabris	Triodopsis albolabris
Animalia	Mollusca	Stylommatophora	Polygyridae	Stenotrema	leai	Stenotrema leai
Animalia	Mollusca	Unionida	Unionidae	Paetulunio	fabalis	Paetulunio fabalis
Animalia	Mollusca	NA	Lymnaeidae	Stagnicola	catescopium	Stagnicola catescopium
Animalia	Mollusca	Littorinimorpha	Hydrobiidae	Marstonia	lustrica	Marstonia lustrica
Animalia	Mollusca	NA	Lymnaeidae	Lymnaea	NA	Lymnaea NA
Animalia	Mollusca	Unionida	Unionidae	Alasmidonta	marginata	Alasmidonta marginata
Animalia	Mollusca	Unionida	Unionidae	Toxolasma	parvum	Toxolasma parvum
Animalia	Mollusca	Venerida	Sphaeriidae	Euglesa	casertana	Euglesa casertana
Animalia	Mollusca	Stylommatophora	Gastrodontidae	Zonitoides	arboreus	Zonitoides arboreus
Animalia	Mollusca	Littorinimorpha	Amnicolidae	Lyogyrus	walkeri	Lyogyrus walkeri
Animalia	Mollusca	Venerida	Sphaeriidae	Pisidium	nitidum	Pisidium nitidum
Animalia	Mollusca	NA	Physidae	Physa	ancillaria	Physa ancillaria
Animalia	Mollusca	NA	Valvatidae	Valvata	sincera	Valvata sincera
Animalia	Mollusca	Stylommatophora	Polygyridae	Mesodon	clausus	Mesodon clausus
Animalia	Mollusca	Unionida	Unionidae	Pleurobema	rubrum	Pleurobema rubrum
Animalia	Mollusca	Venerida	Sphaeriidae	Musculium	partumeium	Musculium partumeium
Animalia	Mollusca	Unionida	Unionidae	Epioblasma	torulosa	Epioblasma torulosa
Animalia	Mollusca	Littorinimorpha	Hydrobiidae	Probythinella	emarginata	Probythinella emarginata
Animalia	Mollusca	Nautilida	Trigonoceratidae	Rineceras	NA	Rineceras NA
Animalia	Mollusca	NA	Euomphalidae	Poleumita	NA	Poleumita NA
Animalia	Mollusca	Stylommatophora	Polygyridae	Polygyra	hirsuta	Polygyra hirsuta
Animalia	Mollusca	NA	Orthoceratidae	Kionoceras	bellense	Kionoceras bellense
Animalia	Mollusca	NA	Euomphalidae	Poleumita	scamnata	Poleumita scamnata
Animalia	Mollusca	Stylommatophora	Geomitridae	Xerocrassa	frater	Xerocrassa frater
Animalia	Mollusca	Architaenioglossa	Viviparidae	Lioplax	sulculosa	Lioplax sulculosa
Animalia	Mollusca	Unionida	Unionidae	Obliquaria	reflexa	Obliquaria reflexa
Animalia	Mollusca	NA	Physidae	Aplexa	hypnorum	Aplexa hypnorum
Animalia	Mollusca	NA	Phragmoceratidae	Phragmoceras	NA	Phragmoceras NA
Animalia	Mollusca	NA	Hemiphragmoceratidae	Hexameroceras	NA	Hexameroceras NA
Animalia	Mollusca	NA	Platyceratidae	Acroculia	niagarensis	Acroculia niagarensis
Animalia	Mollusca	NA	Planorbidae	Laevapex	fuscus	Laevapex fuscus
Animalia	Mollusca	NA	Physidae	Physa	integra	Physa integra
Animalia	Mollusca	Stylommatophora	Polygyridae	Polygyra	NA	Polygyra NA
Animalia	Mollusca	Pleurotomariida	Eotomariidae	Pleurotomaria	vitruvia	Pleurotomaria vitruvia
Animalia	Mollusca	NA	Pleuroceridae	Pleurocera	NA	Pleurocera NA
Animalia	Mollusca	NA	Hemiphragmoceratidae	Hexameroceras	cacabiforme	Hexameroceras cacabiforme
Animalia	Mollusca	NA	Physidae	Physa	brevispira	Physa brevispira
Animalia	Mollusca	NA	NA	Cyclospongia	discus	Cyclospongia discus
Animalia	Mollusca	Stylommatophora	Gastrodontidae	Zonitoides	NA	Zonitoides NA
Animalia	Mollusca	NA	Pleuroceridae	Elimia	NA	Elimia NA
Animalia	Mollusca	NA	Platyceratidae	Platyceras	crassum	Platyceras crassum
Animalia	Mollusca	Ellobiida	Ellobiidae	Carychium	exiguum	Carychium exiguum
Animalia	Mollusca	Architaenioglossa	Viviparidae	Viviparus	contectoides	Viviparus contectoides
Animalia	Mollusca	NA	Euomphalidae	Euomphalopterus	alatus	Euomphalopterus alatus
Animalia	Mollusca	Littorinimorpha	Amnicolidae	Amnicola	NA	Amnicola NA
Animalia	Mollusca	Stylommatophora	Polygyridae	Polygyra	profunda	Polygyra profunda
