genus	spp	sci.name
Fossaria	peninsulae	Fossaria peninsulae
Fossaria	rustica	Fossaria rustica
Gastrocopta	armifera	Gastrocopta armifera
Gastrocopta	contracta	Gastrocopta contracta
Gastrocopta	corticaria	Gastrocopta corticaria
Gastrocopta	holzingeri	Gastrocopta holzingeri
Gastrocopta	pentodon	Gastrocopta pentodon
Gastrocopta	tappaniana	Gastrocopta tappaniana
Gillia	altilis	Gillia altilis
Glyphyalinia	indentata	Glyphyalinia indentata
Glyphyalinia	rhoadsi	Glyphyalinia rhoadsi
Glyphyalinia	solida	Glyphyalinia solida
Glyphyalinia	wheatleyi	Glyphyalinia wheatleyi
Guppya	sterkii	Guppya sterkii
Gyraulus	circumstriatus	Gyraulus circumstriatus
Gyraulus	crista	Gyraulus crista
Gyraulus	deflectus	Gyraulus deflectus
Gyraulus	hornensis	Gyraulus hornensis
Gyraulus	parvus	Gyraulus parvus
Haplotrema	minuscula	Haplotrema minuscula
Hawaiia	alachuana	Hawaiia alachuana
Helicodiscus	parallelus	Helicodiscus parallelus
Helicodiscus	shimeki	Helicodiscus shimeki
Helicodiscus	singleyanus	Helicodiscus singleyanus
Helisoma	anceps	Helisoma anceps
Helix	aspersa	Helix aspersa
Hendersonia	occulta	Hendersonia occulta
Inflectarius	inflectus	Inflectarius inflectus
Lasmigona	complanta	Lasmigona complanta
Leptodea	leptodon	Leptodea leptodon
Ligumia	nasuta	Ligumia nasuta
Lyogyrus	walkeri	Lyogyrus walkeri
Marstonia	letsoni	Marstonia letsoni
Marstonia	lustrica	Marstonia lustrica
Melanoides	tuberculata	Melanoides tuberculata
Mesodon	clausus	Mesodon clausus
Mesodon	elevatus	Mesodon elevatus
Mesodon	mitchellianus	Mesodon mitchellianus
Mesodon	pennsylnanicus	Mesodon pennsylnanicus
Mesodon	zaletus	Mesodon zaletus
Mesomphix	cupreus	Mesomphix cupreus
Musculium	partumeium	Musculium partumeium
Musculium	securis	Musculium securis
Musculium	transversum	Musculium transversum
Neohelix	albolabris	Neohelix albolabris
